"Coptis"
"Evodia"
"Saffron"
"Agar"
"Tragacanth"
"Gypsum"
"Acacia"
"Belladonna"
"Belladonna"
"Cherry"
"Senna"
"Cascara sagrada"
"Capsicum"
"Cardamon"
"Melilot"
"Opium"
"Clove"
"Quercus salicina"
"Ipecac"
"Scopolia"
"Fennel"
"Senega"
"Apricot"
"Geranium"
"Glycyrrhiza"
"Nux vomica"
"Condurango"
"Swertia"
"Bitter orange"
"Cinnamon"
"Mallotus"
"Forsythia"
"Lithospermum"
"Yellow beewax"
"White beeswax"
"Orange"
"Rice"
"Malt"
"oak"
"Eucalyptus"
"Mentha"
"Plantago"
"Capsicum"
"Mentha"
"Castor"
"Nux vomica"
"Orange"
"Cinnamomum obtusifolium"
"Gambir"
"Sweet hydrangea"
"Aloe"
"Artemisia capillaris"
"Fennel"
"Bearberry"
"Rose"
"Corydalis"
"Astragalus"
"Scutellaria"
"Phellodendron"
"Polygala"
"Prunella"
"Zedoary"
"Pueraria"
"Clematis"
"Termeric"
"Lindera"
"Polygonum"
"Japanese valerian"
"Trichosanthes"
"ginger"
"Platycodon"
"Chrysanthemum"
"Catalpa"
"orange"
"Notopterygium"
"Apricot"
"Lycium"
"Sophora"
"Schizonepeta"
"Cinnamon"
"Cinnamon"
"Cassia"
"Pharbitis"
"Gentian"
"Safflower"
"Red ginseng"
"Cyperus"
"Magnolia"
"Oriental"
"Achyranthes bidentata"
"Burdock"
"Schisandra"
"Calumba"
"Condurango"
"Bupleurum"
"Asiasarum"
"Smilax"
"Gardenia"
"Cornus"
"Zanthoxylum"
"Jujube"
"Dioscorea"
"Rehmannia"
"Lycium"
"Tribulus"
"Peony"
"Cnidium monnieri"
"Plantago"
"Houttuynia"
"Amomum"
"Ginger"
"Cimicifuga"
"Magnolia"
"Cinnamomum burmannii"
"Cnidium"
"Nuphar"
"Toad"
"Senna"
"Atractylodes lancea"
"Mulberry"
"Sappan"
"Perilla"
"Rheum palmatum"
"Rheum tanguticum"
"Jujube"
"Alisma"
"Panax"
"Anemarrhena"
"Uncaria"
"Polyporus"
"Citrus unshiu"
"Gastrodia"
"Asparagus"
"Benincasa"
"Japanese angelica"
"Peach"
"Eucommia"
"Picrasma"
"Panax ginseng"
"Loniceraand"
"Fritillaria"
"Ophiopogon"
"Honey"
"Glehnia"
"Pinellia"
"Angelica dahurica"
"Atractylodes"
"Loquat"
"Areca"
"Poria"
"aconitum carmicha"
"Sinomenium"
"Imperata"
"Saposhnikovia"
"Moutan"
"Oyster"
"Ephedra"
"Digenea"
"Hemp"
"Akebia"
"Saussurea"
"Bitter cardamon"
"Bear bile"
"Coix"
"Longgu"
"Japanese gentian"
"Alpinia offcinarum"
"Nelumbo"
"Rosin"
"Scopolia"
"Epimedium"
"Uva ursi"
"Polygonatum"
"Glycyrrhiza"
